class,support,tp,fp,fn,precision,recall,f1
"District Court, S.D. New York",28,22,5,6,0.814814814814815,0.785714285714286,0.8
"District Court, W.D. Michigan",6,4,1,2,0.8,0.666666666666667,0.727272727272727
District of Columbia Court of Appeals,49,41,0,8,1,0.836734693877551,0.911111111111111
Florida Attorney General Reports,31,28,2,3,0.933333333333333,0.903225806451613,0.918032786885246
Florida Fifth District Court of Appeal,6,1,0,5,1,0.166666666666667,0.285714285714286
Florida First District Court of Appeal,9,3,1,6,0.75,0.333333333333333,0.461538461538462
Florida Fourth District Court of Appeal,3,0,0,3,0,0,0
Florida Second District Court of Appeal,12,11,0,1,1,0.916666666666667,0.956521739130435
Florida Third District Court of Appeal,9,7,6,2,0.538461538461538,0.777777777777778,0.636363636363636
Hawaii Intermediate Court of Appeals,84,79,2,5,0.975308641975309,0.940476190476191,0.957575757575757
Hawaii Supreme Court,16,10,0,6,1,0.625,0.769230769230769
Idaho Court of Appeals,13,13,1,0,0.928571428571429,1,0.962962962962963
Idaho Supreme Court,14,2,0,12,1,0.142857142857143,0.25
Illinois Supreme Court,524,487,3,37,0.993877551020408,0.929389312977099,0.960552268244576
Indiana Court of Appeals,231,225,1,6,0.995575221238938,0.974025974025974,0.984682713347921
Indiana Supreme Court,15,12,0,3,1,0.8,0.888888888888889
Louisiana Attorney General Reports,173,173,9,0,0.950549450549451,1,0.974647887323944
Louisiana Court of Appeal,103,76,11,27,0.873563218390805,0.737864077669903,0.8
Massachusetts Appeals Court,39,36,0,3,1,0.923076923076923,0.96
Massachusetts Supreme Judicial Court,45,39,4,6,0.906976744186047,0.866666666666667,0.886363636363636
Michigan Supreme Court,126,86,2,40,0.977272727272727,0.682539682539683,0.803738317757009
Mississippi Supreme Court,534,522,26,12,0.952554744525547,0.97752808988764,0.964879852125693
Missouri Attorney General Reports,159,157,0,2,1,0.987421383647799,0.993670886075949
Missouri Court of Appeals,165,163,5,2,0.970238095238095,0.987878787878788,0.978978978978979
Montana Supreme Court,149,137,0,12,1,0.919463087248322,0.958041958041958
Nebraska Attorney General Reports,204,203,15,1,0.931192660550459,0.995098039215686,0.962085308056872
Nebraska Court of Appeals,4,0,0,4,0,0,0
Nevada Supreme Court,465,444,32,21,0.932773109243698,0.954838709677419,0.943676939426142
New Jersey Court of Chancery,5,0,0,5,0,0,0
New Jersey Superior Court Appellate Division,173,170,2,3,0.988372093023256,0.982658959537572,0.985507246376811
New Jersey Tax Court,7,5,1,2,0.833333333333333,0.714285714285714,0.769230769230769
New Mexico Supreme Court,48,43,0,5,1,0.895833333333333,0.945054945054945
New York Attorney General Reports,59,55,0,4,1,0.932203389830508,0.964912280701754
New York Court of Appeals,530,502,25,28,0.952561669829222,0.947169811320755,0.949858088930936
New York Supreme Court,12,0,0,12,0,0,0
New York Surrogate's Court,2,0,0,2,0,0,0
North Carolina Industrial Commission,311,310,12,1,0.962732919254658,0.996784565916399,0.979462875197472
North Dakota Supreme Court,7,0,0,7,0,0,0
Ohio Court of Appeals,537,504,72,33,0.875,0.93854748603352,0.905660377358491
Ohio Supreme Court,509,456,10,53,0.978540772532189,0.895874263261297,0.935384615384615
Oklahoma Attorney General Reports,245,237,7,8,0.971311475409836,0.96734693877551,0.969325153374233
Oregon Supreme Court,185,176,0,9,1,0.951351351351351,0.975069252077562
Oregon Tax Court,10,10,0,0,1,1,1
South Dakota Supreme Court,50,27,0,23,1,0.54,0.701298701298701
Superior Court of Delaware,20,7,0,13,1,0.35,0.518518518518519
Superior Court of North Carolina,53,39,26,14,0.6,0.735849056603774,0.661016949152542
Superior Court of Pennsylvania,1323,1292,70,31,0.948604992657856,0.976568405139834,0.962383612662942
Superior Court of Rhode Island,13,0,0,13,0,0,0
Supreme Court of Alabama,454,362,56,92,0.866028708133971,0.797356828193833,0.830275229357798
Supreme Court of Arkansas,11,0,0,11,0,0,0
Supreme Court of Colorado,11,5,0,6,1,0.454545454545455,0.625
Supreme Court of Connecticut,18,18,0,0,1,1,1
Supreme Court of Delaware,191,184,0,7,1,0.963350785340314,0.981333333333333
Supreme Court of Florida,780,752,94,28,0.888888888888889,0.964102564102564,0.924969249692497
Supreme Court of Georgia,221,194,88,27,0.687943262411348,0.877828054298643,0.771371769383698
Supreme Court of Iowa,11,0,0,11,0,0,0
Supreme Court of Kansas,4,0,0,4,0,0,0
Supreme Court of Louisiana,304,284,3,20,0.989547038327526,0.93421052631579,0.961082910321489
Supreme Court of Minnesota,43,28,21,15,0.571428571428571,0.651162790697675,0.608695652173913
Supreme Court of Missouri,348,344,3,4,0.99135446685879,0.988505747126437,0.989928057553957
Supreme Court of New Hampshire,19,3,0,16,1,0.157894736842105,0.272727272727273
Supreme Court of New Jersey,79,61,0,18,1,0.772151898734177,0.871428571428571
Supreme Court of North Carolina,400,377,73,23,0.837777777777778,0.9425,0.887058823529412
Supreme Court of Oklahoma,10,0,0,10,0,0,0
Supreme Court of Pennsylvania,125,107,8,18,0.930434782608696,0.856,0.891666666666667
Supreme Court of Puerto Rico,6,3,0,3,1,0.5,0.666666666666667
Supreme Court of Rhode Island,11,1,0,10,1,0.0909090909090909,0.166666666666667
Supreme Court of South Carolina,27,13,0,14,1,0.481481481481482,0.65
Supreme Court of the United States,7112,7088,330,24,0.955513615529792,0.996625421822272,0.975636613902271
Supreme Court of Vermont,64,58,2,6,0.966666666666667,0.90625,0.935483870967742
Supreme Court of Virginia,7,0,0,7,0,0,0
Tennessee Superior Court for Law and Equity,17,0,0,17,0,0,0
Tennessee Supreme Court,6,0,0,6,0,0,0
Texas Attorney General Reports,55,51,3,4,0.944444444444444,0.927272727272727,0.935779816513761
"Texas Court of Appeals, 10th District (Waco)",4,0,0,4,0,0,0
"Texas Court of Appeals, 11th District (Eastland)",28,27,0,1,1,0.964285714285714,0.981818181818182
"Texas Court of Appeals, 12th District (Tyler)",102,100,6,2,0.943396226415094,0.980392156862745,0.961538461538461
"Texas Court of Appeals, 13th District",52,51,2,1,0.962264150943396,0.980769230769231,0.971428571428571
"Texas Court of Appeals, 2nd District (Fort Worth)",356,345,9,11,0.974576271186441,0.969101123595506,0.971830985915493
"Texas Court of Appeals, 3rd District (Austin)",99,92,11,7,0.893203883495146,0.929292929292929,0.910891089108911
"Texas Court of Appeals, 4th District (San Antonio)",52,38,2,14,0.95,0.730769230769231,0.826086956521739
"Texas Court of Appeals, 6th District (Texarkana)",13,2,0,11,1,0.153846153846154,0.266666666666667
"Texas Court of Appeals, 7th District (Amarillo)",292,281,27,11,0.912337662337662,0.962328767123288,0.936666666666667
"Texas Court of Appeals, 8th District (El Paso)",20,17,0,3,1,0.85,0.918918918918919
"Texas Court of Appeals, 9th District (Beaumont)",202,200,10,2,0.952380952380952,0.99009900990099,0.970873786407767
Texas Supreme Court,17,5,0,12,1,0.294117647058824,0.454545454545455
U.S. Circuit Court for the District of District of Columbia,4,0,0,4,0,0,0
U.S. Circuit Court for the District of Massachusetts,3,0,0,3,0,0,0
United States Board of Tax Appeals,5,0,0,5,0,0,0
United States Court of International Trade,4,0,0,4,0,0,0
Utah Supreme Court,69,47,2,22,0.959183673469388,0.681159420289855,0.796610169491526
Washington Supreme Court,44,25,9,19,0.735294117647059,0.568181818181818,0.641025641025641
Wisconsin Supreme Court,181,167,11,14,0.938202247191011,0.922651933701657,0.930362116991643
